bar,flips,dflips,pass,mismatch,starved
1726,36388,42,1540,0,2261
1727,36402,14,1541,0,2262
1728,36416,14,1542,0,2263
1729,36423,7,1543,0,2263
1730,36465,42,1545,0,2266
1731,36479,14,1546,0,2267
1732,36535,56,1546,0,2275
1733,36556,21,1548,0,2276
1734,36612,56,1548,0,2284
1735,36626,14,1549,0,2285
1736,36682,56,1549,0,2293
1737,36703,21,1551,0,2294
1738,36752,49,1551,0,2301
1739,36773,21,1553,0,2302
1740,36815,42,1553,0,2308
1741,36836,21,1555,0,2309
1742,36843,7,1555,0,2310
1743,36850,7,1555,0,2311
1744,36871,21,1556,0,2311
1745,36885,14,1557,0,2311
1746,36913,28,1559,0,2312
1747,36962,49,1559,0,2319
1748,36983,21,1561,0,2320
1749,37039,56,1561,0,2328
1750,37053,14,1562,0,2329
1751,37109,56,1562,0,2337
1752,37130,21,1564,0,2338
1753,37179,49,1564,0,2345
1754,37200,21,1566,0,2346
1755,37256,56,1566,0,2354
1756,37270,14,1567,0,2355
1757,37326,56,1567,0,2363
1758,37347,21,1569,0,2364
1759,37403,56,1569,0,2372
1760,37417,14,1570,0,2373
1761,37473,56,1570,0,2381
1762,37494,21,1572,0,2382
1763,37536,42,1572,0,2388
1764,37557,21,1574,0,2389
1765,37606,49,1574,0,2396
1766,37620,14,1575,0,2397
1767,37634,14,1576,0,2398
1768,37641,7,1577,0,2398
1769,37683,42,1579,0,2401
1770,37697,14,1580,0,2402
1771,37753,56,1580,0,2410
1772,37774,21,1582,0,2411
1773,37830,56,1582,0,2419
1774,37844,14,1583,0,2420
1775,37900,56,1583,0,2428
1776,37921,21,1585,0,2429
1777,37970,49,1585,0,2436
1778,37991,21,1587,0,2437
1779,38033,42,1587,0,2443
1780,38054,21,1589,0,2444
1781,38061,7,1589,0,2445
1782,38068,7,1589,0,2446
1783,38110,42,1592,0,2447
1784,38124,14,1593,0,2448
1785,38180,56,1593,0,2456
1786,38201,21,1595,0,2457
1787,38257,56,1595,0,2465
1788,38271,14,1596,0,2466
1789,38327,56,1596,0,2474
1790,38348,21,1598,0,2475
1791,38397,49,1598,0,2482
1792,38418,21,1600,0,2483
1793,38474,56,1600,0,2491
1794,38488,14,1601,0,2492
1795,38544,56,1601,0,2500
1796,38565,21,1603,0,2501
1797,38621,56,1603,0,2509
1798,38635,14,1604,0,2510
1799,38642,7,1605,0,2510
1800,38691,49,1607,0,2514
1801,38712,21,1609,0,2515
1802,38754,42,1609,0,2521
1803,38775,21,1611,0,2522
1804,38824,49,1611,0,2529
1805,38845,21,1613,0,2530
1806,38901,56,1613,0,2538
1807,38915,14,1614,0,2539
1808,38971,56,1614,0,2547
1809,38985,14,1615,0,2548
1810,38999,14,1616,0,2549
1811,39006,7,1617,0,2549
1812,39013,7,1617,0,2550
1813,39027,14,1618,0,2550
1814,39041,14,1619,0,2550
1815,39055,14,1620,0,2550
1816,39076,21,1621,0,2551
1817,39083,7,1622,0,2551
1818,39118,35,1625,0,2551
1819,39139,21,1627,0,2552
1820,39188,49,1627,0,2559
1821,39209,21,1629,0,2560
1822,39265,56,1629,0,2568
1823,39279,14,1630,0,2569
1824,39286,7,1631,0,2569
1825,39335,49,1633,0,2573
1826,39356,21,1635,0,2574
1827,39398,42,1635,0,2580
1828,39419,21,1637,0,2581
1829,39475,56,1637,0,2589
1830,39489,14,1638,0,2590
1831,39545,56,1638,0,2598
1832,39566,21,1640,0,2599
1833,39615,49,1640,0,2606
1834,39636,21,1642,0,2607
1835,39692,56,1642,0,2615
1836,39706,14,1643,0,2616
1837,39762,56,1643,0,2624
1838,39783,21,1645,0,2625
1839,39839,56,1645,0,2633
1840,39853,14,1646,0,2634
1841,39909,56,1646,0,2642
1842,39923,14,1647,0,2643
1843,39930,7,1648,0,2643
1844,39972,42,1650,0,2646
1845,39993,21,1652,0,2647
1846,40042,49,1652,0,2654
1847,40063,21,1654,0,2655
1848,40119,56,1654,0,2663
1849,40133,14,1655,0,2664
1850,40189,56,1655,0,2672
1851,40210,21,1657,0,2673
1852,40266,56,1657,0,2681
1853,40280,14,1658,0,2682
1854,40336,56,1658,0,2690
1855,40350,14,1659,0,2691
1856,40364,14,1660,0,2692
1857,40406,42,1662,0,2696
1858,40420,14,1663,0,2697
1859,40469,49,1663,0,2704
1860,40490,21,1665,0,2705
1861,40497,7,1665,0,2706
1862,40511,14,1666,0,2706
1863,40518,7,1666,0,2707
1864,40532,14,1667,0,2707
1865,40546,14,1668,0,2707
1866,40560,14,1669,0,2707
1867,40616,56,1670,0,2713
1868,40637,21,1672,0,2714
1869,40693,56,1672,0,2722
1870,40707,14,1673,0,2723
1871,40763,56,1673,0,2731
1872,40777,14,1674,0,2732
1873,40791,14,1675,0,2733
1874,40833,42,1677,0,2737
1875,40847,14,1678,0,2738
1876,40861,14,1679,0,2739
1877,40868,7,1680,0,2739
1878,40875,7,1680,0,2740
1879,40896,21,1681,0,2740
1880,40910,14,1682,0,2740
1881,40924,14,1683,0,2740
1882,40931,7,1684,0,2740
1883,40952,21,1685,0,2740
1884,40987,35,1688,0,2740
1885,40994,7,1688,0,2741
1886,41008,14,1689,0,2741
1887,41015,7,1689,0,2742
1888,41021,6,1690,0,2742
1889,41049,28,1692,0,2744
1890,41063,14,1693,0,2745
1891,41126,63,1693,0,2754
1892,41140,14,1694,0,2755
1893,41147,7,1695,0,2755
1894,41196,49,1697,0,2759
1895,41210,14,1698,0,2760
1896,41259,49,1698,0,2767
1897,41280,21,1700,0,2768
1898,41336,56,1700,0,2776
1899,41350,14,1701,0,2777
1900,41406,56,1701,0,2785
1901,41427,21,1703,0,2786
1902,41476,49,1703,0,2793
1903,41490,14,1704,0,2794
1904,41553,63,1704,0,2803
1905,41567,14,1705,0,2804
1906,41623,56,1705,0,2812
1907,41637,14,1706,0,2813
1908,41686,49,1706,0,2820
1909,41700,14,1707,0,2821
1910,41714,14,1708,0,2822
1911,41763,49,1708,0,2829
1912,41777,14,1709,0,2830
1913,41784,7,1709,0,2831
1914,41833,49,1710,0,2836
1915,41854,21,1712,0,2837
1916,41910,56,1712,0,2845
1917,41924,14,1713,0,2846
1918,41980,56,1713,0,2854
1919,41994,14,1714,0,2855
1920,42050,56,1714,0,2863
1921,42064,14,1715,0,2864
1922,42078,14,1716,0,2865
1923,42085,7,1717,0,2865
1924,42127,42,1719,0,2868
1925,42141,14,1720,0,2869
1926,42197,56,1720,0,2877
1927,42218,21,1722,0,2878
1928,42267,49,1722,0,2885
1929,42281,14,1723,0,2886
1930,42344,63,1723,0,2895
1931,42358,14,1724,0,2896
1932,42365,7,1725,0,2896
1933,42414,49,1727,0,2900
1934,42435,21,1729,0,2901
1935,42477,42,1729,0,2907
1936,42498,21,1731,0,2908
1937,42554,56,1731,0,2916
1938,42568,14,1732,0,2917
1939,42624,56,1732,0,2925
1940,42645,21,1734,0,2926
1941,42694,49,1734,0,2933
1942,42715,21,1736,0,2934
1943,42771,56,1736,0,2942
1944,42785,14,1737,0,2943
1945,42841,56,1737,0,2951
1946,42862,21,1739,0,2952
1947,42918,56,1739,0,2960
1948,42932,14,1740,0,2961
1949,42988,56,1740,0,2969
1950,43009,21,1742,0,2970
1951,43051,42,1742,0,2976
1952,43072,21,1744,0,2977
1953,43121,49,1744,0,2984
1954,43135,14,1745,0,2985
1955,43149,14,1746,0,2986
1956,43156,7,1747,0,2986
1957,43198,42,1749,0,2989
1958,43212,14,1750,0,2990
1959,43268,56,1750,0,2998
1960,43289,21,1752,0,2999
1961,43345,56,1752,0,3007
1962,43359,14,1753,0,3008
1963,43415,56,1753,0,3016
1964,43429,14,1754,0,3017
1965,43443,14,1755,0,3018
1966,43485,42,1757,0,3022
1967,43506,21,1759,0,3023
1968,43548,42,1759,0,3029
1969,43562,14,1760,0,3030
1970,43576,14,1761,0,3031
1971,43583,7,1762,0,3031
1972,43632,49,1764,0,3035
1973,43646,14,1765,0,3036
1974,43695,49,1765,0,3043
1975,43716,21,1767,0,3044
1976,43772,56,1767,0,3052
1977,43786,14,1768,0,3053
1978,43842,56,1768,0,3061
1979,43863,21,1770,0,3062
1980,43912,49,1770,0,3069
1981,43926,14,1771,0,3070
1982,43940,14,1772,0,3071
